experiment,model,tool_success_rate,prompt_type,difficulty,total_tests,successful,partial,failed,success_rate,partial_rate,failure_rate,total_success,total_success_rate,effective_total,effective_success_rate,timeout_failures,timeout_errors,tool_selection_errors,parameter_errors,execution_errors,other_errors,avg_execution_time,task_types_covered
5.4,qwen2.5-72b-instruct,0.9,optimal,easy,216,0,0,216,0.0,0.0,1.0,0,0.0,216,0.0,0,0,47,0,0,9,22.91435411239939,5
5.4,qwen2.5-72b-instruct,0.8,optimal,easy,198,0,0,198,0.0,0.0,1.0,0,0.0,198,0.0,0,0,41,0,0,11,25.878488359889776,5
5.4,qwen2.5-72b-instruct,0.7,optimal,easy,234,0,0,234,0.0,0.0,1.0,0,0.0,234,0.0,0,0,46,0,0,14,24.63754803274484,5
5.4,qwen2.5-72b-instruct,0.6,optimal,easy,252,0,0,252,0.0,0.0,1.0,0,0.0,252,0.0,0,0,60,0,0,12,22.605091349598947,5
5.4,qwen2.5-7b-instruct,0.9,optimal,easy,198,20,10,178,0.10101010101010101,0.050505050505050504,0.898989898989899,30,0.15151515151515152,198,0.10101010101010101,0,0,33,0,0,15,14.633623206589139,5
5.4,qwen2.5-7b-instruct,0.8,optimal,easy,198,12,6,186,0.06060606060606061,0.030303030303030304,0.9393939393939394,18,0.09090909090909091,198,0.06060606060606061,0,0,32,0,0,12,15.310762413270533,5
5.4,qwen2.5-7b-instruct,0.7,optimal,easy,198,12,6,186,0.06060606060606061,0.030303030303030304,0.9393939393939394,18,0.09090909090909091,198,0.06060606060606061,0,0,39,0,0,11,14.852956563564632,5
5.4,qwen2.5-7b-instruct,0.6,optimal,easy,198,18,9,180,0.09090909090909091,0.045454545454545456,0.9090909090909091,27,0.13636363636363635,198,0.09090909090909091,0,0,25,0,0,8,15.389526502890135,5
5.4,qwen2.5-14b-instruct,0.9,optimal,easy,156,10,5,146,0.0641025641025641,0.03205128205128205,0.9358974358974359,15,0.09615384615384616,156,0.0641025641025641,0,0,22,0,0,14,18.393331513938623,5
5.4,qwen2.5-14b-instruct,0.8,optimal,easy,198,14,7,184,0.0707070707070707,0.03535353535353535,0.9292929292929293,21,0.10606060606060606,198,0.0707070707070707,0,0,29,0,0,13,13.018968041127437,5
5.4,qwen2.5-14b-instruct,0.7,optimal,easy,246,24,9,222,0.0975609756097561,0.036585365853658534,0.9024390243902439,33,0.13414634146341464,246,0.0975609756097561,0,0,50,0,0,15,19.93755262973763,5
5.4,qwen2.5-14b-instruct,0.6,optimal,easy,240,18,7,222,0.075,0.029166666666666667,0.925,25,0.10416666666666667,240,0.075,0,0,47,0,0,15,18.341541120427014,5
5.4,DeepSeek-V3-0324,0.9,optimal,easy,396,396,58,0,1.0,0.14646464646464646,0.0,454,1.1464646464646464,396,1.0,0,0,8,0,0,7,19.739791573481405,5
5.4,DeepSeek-V3-0324,0.8,optimal,easy,370,364,82,6,0.9837837837837838,0.22162162162162163,0.016216216216216217,446,1.2054054054054053,370,0.9837837837837838,0,0,15,0,0,5,12.01228415947059,5
5.4,DeepSeek-V3-0324,0.7,optimal,easy,396,396,121,0,1.0,0.3055555555555556,0.0,517,1.3055555555555556,396,1.0,0,0,21,0,0,8,15.641096654587301,5
5.4,DeepSeek-V3-0324,0.6,optimal,easy,396,380,144,16,0.9595959595959596,0.36363636363636365,0.04040404040404041,524,1.3232323232323233,395,0.9620253164556962,1,1,20,0,0,16,11.239277829799368,5
5.4,qwen2.5-32b-instruct,0.9,optimal,easy,198,4,2,194,0.020202020202020204,0.010101010101010102,0.9797979797979798,6,0.030303030303030304,198,0.020202020202020204,0,0,46,0,0,7,13.217001389072186,5
5.4,qwen2.5-32b-instruct,0.8,optimal,easy,198,0,0,198,0.0,0.0,1.0,0,0.0,198,0.0,0,0,36,0,0,10,12.061760268970772,5
5.4,qwen2.5-32b-instruct,0.7,optimal,easy,198,6,3,192,0.030303030303030304,0.015151515151515152,0.9696969696969697,9,0.045454545454545456,198,0.030303030303030304,0,0,34,0,0,11,12.991921449501945,5
5.4,qwen2.5-32b-instruct,0.6,optimal,easy,198,0,0,198,0.0,0.0,1.0,0,0.0,198,0.0,0,0,38,0,0,14,13.593936945002564,5
5.4,Llama-3.3-70B-Instruct,0.9,optimal,easy,396,388,69,8,0.9797979797979798,0.17424242424242425,0.020202020202020204,457,1.154040404040404,395,0.9822784810126582,1,1,17,0,0,4,107.77031343634057,5
5.4,Llama-3.3-70B-Instruct,0.8,optimal,easy,396,384,138,12,0.9696969696969697,0.3484848484848485,0.030303030303030304,522,1.3181818181818181,393,0.9770992366412213,3,3,24,0,0,11,114.46824754675065,5
5.4,Llama-3.3-70B-Instruct,0.7,optimal,easy,396,360,132,36,0.9090909090909091,0.3333333333333333,0.09090909090909091,492,1.2424242424242424,396,0.9090909090909091,0,0,28,0,0,9,113.90224811393378,5
5.4,Llama-3.3-70B-Instruct,0.6,optimal,easy,396,372,156,24,0.9393939393939394,0.3939393939393939,0.06060606060606061,528,1.3333333333333333,396,0.9393939393939394,0,0,23,0,0,19,124.0179382708878,5
5.4,qwen2.5-3b-instruct,0.9,optimal,easy,138,20,10,118,0.14492753623188406,0.07246376811594203,0.855072463768116,30,0.21739130434782608,138,0.14492753623188406,0,0,16,0,0,7,29.878925887452873,5
5.4,qwen2.5-3b-instruct,0.8,optimal,easy,138,12,6,126,0.08695652173913043,0.043478260869565216,0.9130434782608695,18,0.13043478260869565,138,0.08695652173913043,0,0,18,0,0,8,30.722939818991563,5
5.4,qwen2.5-3b-instruct,0.7,optimal,easy,240,8,4,232,0.03333333333333333,0.016666666666666666,0.9666666666666667,12,0.05,240,0.03333333333333333,0,0,48,0,0,13,32.48335236909655,5
5.4,qwen2.5-3b-instruct,0.6,optimal,easy,138,12,6,126,0.08695652173913043,0.043478260869565216,0.9130434782608695,18,0.13043478260869565,138,0.08695652173913043,0,0,19,0,0,6,30.74548779707149,5
5.4,DeepSeek-R1-0528,0.9,optimal,easy,396,392,108,4,0.98989898989899,0.2727272727272727,0.010101010101010102,500,1.2626262626262625,396,0.98989898989899,0,0,15,0,0,10,145.01664109580986,5
5.4,DeepSeek-R1-0528,0.8,optimal,easy,396,392,102,4,0.98989898989899,0.25757575757575757,0.010101010101010102,494,1.2474747474747474,396,0.98989898989899,0,0,17,0,0,6,130.53469823213817,5
5.4,DeepSeek-R1-0528,0.7,optimal,easy,396,386,136,10,0.9747474747474747,0.3434343434343434,0.025252525252525252,522,1.3181818181818181,394,0.9796954314720813,2,2,23,0,0,17,126.24988761156992,5
5.4,DeepSeek-R1-0528,0.6,optimal,easy,396,376,162,20,0.9494949494949495,0.4090909090909091,0.050505050505050504,538,1.3585858585858586,396,0.9494949494949495,0,0,43,0,0,19,120.9960342309598,5
